node;pid;tid;core_id;sample_count;
CORENTIN-R5-PC;34668;34713;1;2934;
CORENTIN-R5-PC;34668;34713;2;494;
CORENTIN-R5-PC;34668;34713;7;5087;
CORENTIN-R5-PC;34668;34713;8;2880;
CORENTIN-R5-PC;34668;34711;1;818;
CORENTIN-R5-PC;34668;34711;2;399;
CORENTIN-R5-PC;34668;34711;7;5530;
CORENTIN-R5-PC;34668;34711;8;4564;
CORENTIN-R5-PC;34668;34668;1;447;
CORENTIN-R5-PC;34668;34668;2;11891;
CORENTIN-R5-PC;34668;34668;7;217;
CORENTIN-R5-PC;34668;34668;8;1437;
CORENTIN-R5-PC;34668;34712;1;7443;
CORENTIN-R5-PC;34668;34712;2;856;
CORENTIN-R5-PC;34668;34712;7;730;
CORENTIN-R5-PC;34668;34712;8;2428;
CORENTIN-R5-PC;34692;34716;10;6761;
CORENTIN-R5-PC;34692;34715;3;723;
CORENTIN-R5-PC;34692;34715;4;5305;
CORENTIN-R5-PC;34692;34715;9;852;
CORENTIN-R5-PC;34692;34692;3;7182;
CORENTIN-R5-PC;34692;34692;4;10;
CORENTIN-R5-PC;34692;34692;9;7279;
CORENTIN-R5-PC;34692;34714;3;2962;
CORENTIN-R5-PC;34692;34714;4;1437;
CORENTIN-R5-PC;34692;34714;9;2865;
